Date,Day,Weekend,Public_Holiday,Weather,Time_Slot,Product,Total_Quantity_Prepared,Quantity_Sold,Selling_Price,Revenue,Estimated_Cost,Profit,Payment_Mode,Platform,Net_Profit_Loss
01-08-2024,Thursday,No,No,Rainy,8AM - 2PM,Pohe,10,6,20,120,166,-46,Cash,Offline,-86
01-08-2024,Thursday,No,No,Sunny,8AM - 2PM,Tarri Pohe,8,5,30,150,180,-30,Cash,Offline,-70
01-08-2024,Thursday,No,No,Sunny,8AM - 2PM,Misal Pav,4,2,40,80,109,-29,Cash,Offline,-69
01-08-2024,Thursday,No,No,Sunny,8AM - 2PM,Vada Pav,12,8,15,120,154,-34,Cash,Offline,-74
01-08-2024,Thursday,No,No,Rainy,8AM - 2PM,Bhaji Pav,5,3,15,45,67,-22,Cash,Offline,-62
01-08-2024,Thursday,No,No,Rainy,8AM - 2PM,Pattice,2,1,15,15,15,0,OnlinePaytm,Offline,-40
01-08-2024,Thursday,No,No,Rainy,8AM - 2PM,Chai,8,6,6,36,52,-16,Cash,Offline,-56
01-08-2024,Thursday,No,No,Sunny,8AM - 2PM,Bhaji Plate,3,2,20,40,40,0,Cash,Offline,-40
01-08-2024,Thursday,No,No,Cloudy,8AM - 2PM,Vada Misal,5,3,50,150,219,-69,OnlinePaytm,Offline,-109
01-08-2024,Thursday,No,No,Sunny,8AM - 2PM,Usal Pav,4,2,35,70,70,0,OnlinePaytm,Offline,-40
01-08-2024,Thursday,No,No,Sunny,8AM - 2PM,ButterMilk,2,1,15,15,21,-6,Online,Swiggy,-46
02-08-2024,Friday,No,No,Cloudy,8AM - 2PM,Pohe,8,5,20,100,100,0,Online,Swiggy,-40
02-08-2024,Friday,No,No,Sunny,8AM - 2PM,Tarri Pohe,3,2,30,60,60,0,Cash,Offline,-40
02-08-2024,Friday,No,No,Sunny,8AM - 2PM,Misal Pav,5,3,40,120,174,-54,Cash,Offline,-94
02-08-2024,Friday,No,No,Rainy,8AM - 2PM,Vada Pav,10,7,15,105,153,-48,OnlinePaytm,Offline,-88
02-08-2024,Friday,No,No,Cloudy,8AM - 2PM,Bhaji Pav,2,1,15,15,18,-3,OnlinePaytm,Offline,-43
02-08-2024,Friday,No,No,Sunny,8AM - 2PM,Pattice,2,1,15,15,15,0,Cash,Offline,-40
02-08-2024,Friday,No,No,Cloudy,8AM - 2PM,Chai,11,7,6,42,42,0,Cash,Offline,-40
02-08-2024,Friday,No,No,Rainy,8AM - 2PM,Bhaji Plate,2,1,20,20,29,-9,Cash,Offline,-49
02-08-2024,Friday,No,No,Sunny,8AM - 2PM,Vada Misal,4,2,50,100,100,0,Cash,Offline,-40
02-08-2024,Friday,No,No,Rainy,8AM - 2PM,Usal Pav,10,6,35,210,308,-98,OnlinePaytm,Offline,-138
02-08-2024,Friday,No,No,Rainy,8AM - 2PM,ButterMilk,3,2,15,30,30,0,Online,Zomato,-40
03-08-2024,Saturday,Yes,No,Sunny,8AM - 2PM,Pohe,23,21,20,420,294,126,OnlinePaytm,Offline,86
03-08-2024,Saturday,Yes,No,Sunny,8AM - 2PM,Tarri Pohe,8,7,30,210,151,59,OnlinePaytm,Offline,19
03-08-2024,Saturday,Yes,No,Rainy,8AM - 2PM,Misal Pav,12,11,40,440,330,110,Cash,Offline,70
03-08-2024,Saturday,Yes,No,Sunny,8AM - 2PM,Vada Pav,13,11,15,165,120,45,Cash,Offline,5
03-08-2024,Saturday,Yes,No,Sunny,8AM - 2PM,Bhaji Pav,13,12,15,180,130,50,Cash,Offline,10
03-08-2024,Saturday,Yes,No,Sunny,8AM - 2PM,Pattice,9,8,15,120,89,31,OnlinePaytm,Offline,-9
03-08-2024,Saturday,Yes,No,Rainy,8AM - 2PM,Chai,19,16,6,96,53,43,Online,Swiggy,3
03-08-2024,Saturday,Yes,No,Rainy,8AM - 2PM,Bhaji Plate,3,2,20,40,28,12,OnlinePaytm,Offline,-28
03-08-2024,Saturday,Yes,No,Rainy,8AM - 2PM,Vada Misal,11,10,50,500,380,120,Online,Swiggy,80
03-08-2024,Saturday,Yes,No,Rainy,8AM - 2PM,Usal Pav,11,9,35,315,233,82,Cash,Offline,42
03-08-2024,Saturday,Yes,No,Cloudy,8AM - 2PM,ButterMilk,8,7,15,105,63,42,Online,Swiggy,2
04-08-2024,Sunday,Yes,No,Rainy,8AM - 2PM,Pohe,21,19,20,380,266,114,Cash,Offline,74
04-08-2024,Sunday,Yes,No,Cloudy,8AM - 2PM,Tarri Pohe,14,12,30,360,259,101,Cash,Offline,61
04-08-2024,Sunday,Yes,No,Cloudy,8AM - 2PM,Misal Pav,13,11,40,440,330,110,Online,Zomato,70
04-08-2024,Sunday,Yes,No,Rainy,8AM - 2PM,Vada Pav,19,17,15,255,186,69,Cash,Offline,29
04-08-2024,Sunday,Yes,No,Rainy,8AM - 2PM,Bhaji Pav,13,11,15,165,119,46,Cash,Offline,6
04-08-2024,Sunday,Yes,No,Rainy,8AM - 2PM,Pattice,11,9,15,135,100,35,Online,Zomato,-5
04-08-2024,Sunday,Yes,No,Cloudy,8AM - 2PM,Chai,14,12,6,72,40,32,Cash,Offline,-8
04-08-2024,Sunday,Yes,No,Rainy,8AM - 2PM,Bhaji Plate,12,10,20,200,140,60,Cash,Offline,20
04-08-2024,Sunday,Yes,No,Sunny,8AM - 2PM,Vada Misal,13,11,50,550,418,132,Cash,Offline,92
04-08-2024,Sunday,Yes,No,Sunny,8AM - 2PM,Usal Pav,14,12,35,420,311,109,Cash,Offline,69
04-08-2024,Sunday,Yes,No,Sunny,8AM - 2PM,ButterMilk,2,1,15,15,9,6,Cash,Offline,-34
07-08-2024,Wednesday,No,No,Sunny,8AM - 2PM,Pohe,7,5,20,100,142,-42,OnlinePaytm,Offline,-82
07-08-2024,Wednesday,No,No,Sunny,8AM - 2PM,Tarri Pohe,5,3,30,90,116,-26,Online,Swiggy,-66
07-08-2024,Wednesday,No,No,Sunny,8AM - 2PM,Misal Pav,8,5,40,200,255,-55,Online,Swiggy,-95
07-08-2024,Wednesday,No,No,Sunny,8AM - 2PM,Vada Pav,12,8,15,120,120,0,Cash,Offline,-40
07-08-2024,Wednesday,No,No,Rainy,8AM - 2PM,Bhaji Pav,5,3,15,45,45,0,Cash,Offline,-40
07-08-2024,Wednesday,No,No,Cloudy,8AM - 2PM,Pattice,2,1,15,15,22,-7,Online,Zomato,-47
07-08-2024,Wednesday,No,No,Cloudy,8AM - 2PM,Chai,7,4,6,24,31,-7,Cash,Offline,-47
07-08-2024,Wednesday,No,No,Sunny,8AM - 2PM,Bhaji Plate,2,1,20,20,26,-6,Cash,Offline,-46
07-08-2024,Wednesday,No,No,Sunny,8AM - 2PM,Vada Misal,4,2,50,100,126,-26,Cash,Offline,-66
07-08-2024,Wednesday,No,No,Rainy,8AM - 2PM,Usal Pav,6,4,35,140,187,-47,Online,Zomato,-87
07-08-2024,Wednesday,No,No,Rainy,8AM - 2PM,ButterMilk,5,3,15,45,57,-12,Online,Swiggy,-52
08-08-2024,Thursday,No,No,Rainy,8AM - 2PM,Pohe,13,8,20,160,160,0,OnlinePaytm,Offline,-40
08-08-2024,Thursday,No,No,Sunny,8AM - 2PM,Tarri Pohe,6,4,30,120,168,-48,OnlinePaytm,Offline,-88
08-08-2024,Thursday,No,No,Rainy,8AM - 2PM,Misal Pav,4,2,40,80,80,0,OnlinePaytm,Offline,-40
08-08-2024,Thursday,No,No,Sunny,8AM - 2PM,Vada Pav,9,6,15,90,121,-31,Cash,Offline,-71
08-08-2024,Thursday,No,No,Cloudy,8AM - 2PM,Bhaji Pav,4,2,15,30,44,-14,Cash,Offline,-54
08-08-2024,Thursday,No,No,Rainy,8AM - 2PM,Pattice,2,1,15,15,19,-4,OnlinePaytm,Offline,-44
08-08-2024,Thursday,No,No,Rainy,8AM - 2PM,Chai,9,5,6,30,44,-14,Cash,Offline,-54
08-08-2024,Thursday,No,No,Cloudy,8AM - 2PM,Bhaji Plate,2,1,20,20,20,0,Cash,Offline,-40
08-08-2024,Thursday,No,No,Rainy,8AM - 2PM,Vada Misal,2,1,50,50,61,-11,Cash,Offline,-51
08-08-2024,Thursday,No,No,Rainy,8AM - 2PM,Usal Pav,5,3,35,105,145,-40,Online,Zomato,-80
08-08-2024,Thursday,No,No,Rainy,8AM - 2PM,ButterMilk,2,1,15,15,15,0,OnlinePaytm,Offline,-40
09-08-2024,Friday,No,No,Sunny,8AM - 2PM,Pohe,6,4,20,80,80,0,Cash,Offline,-40
09-08-2024,Friday,No,No,Sunny,8AM - 2PM,Tarri Pohe,10,6,30,180,253,-73,Cash,Offline,-113
09-08-2024,Friday,No,No,Sunny,8AM - 2PM,Misal Pav,4,2,40,80,80,0,Cash,Offline,-40
09-08-2024,Friday,No,No,Sunny,8AM - 2PM,Vada Pav,13,8,15,120,120,0,OnlinePaytm,Offline,-40
09-08-2024,Friday,No,No,Sunny,8AM - 2PM,Bhaji Pav,3,2,15,30,41,-11,OnlinePaytm,Offline,-51
09-08-2024,Friday,No,No,Rainy,8AM - 2PM,Pattice,4,2,15,30,30,0,Online,Swiggy,-40
09-08-2024,Friday,No,No,Rainy,8AM - 2PM,Chai,10,7,6,42,42,0,Cash,Offline,-40
09-08-2024,Friday,No,No,Sunny,8AM - 2PM,Bhaji Plate,5,3,20,60,81,-21,OnlinePaytm,Offline,-61
09-08-2024,Friday,No,No,Rainy,8AM - 2PM,Vada Misal,8,5,50,250,250,0,OnlinePaytm,Offline,-40
09-08-2024,Friday,No,No,Cloudy,8AM - 2PM,Usal Pav,7,4,35,140,205,-65,Cash,Offline,-105
09-08-2024,Friday,No,No,Rainy,8AM - 2PM,ButterMilk,3,2,15,30,39,-9,Online,Swiggy,-49
10-08-2024,Saturday,Yes,No,Cloudy,8AM - 2PM,Pohe,17,15,20,300,210,90,Online,Zomato,50
10-08-2024,Saturday,Yes,No,Sunny,8AM - 2PM,Tarri Pohe,5,4,30,120,86,34,Cash,Offline,-6
10-08-2024,Saturday,Yes,No,Sunny,8AM - 2PM,Misal Pav,10,8,40,320,240,80,Cash,Offline,40
10-08-2024,Saturday,Yes,No,Cloudy,8AM - 2PM,Vada Pav,12,10,15,150,110,41,OnlinePaytm,Offline,1
10-08-2024,Saturday,Yes,No,Sunny,8AM - 2PM,Bhaji Pav,10,9,15,135,97,38,OnlinePaytm,Offline,-2
10-08-2024,Saturday,Yes,No,Cloudy,8AM - 2PM,Pattice,3,2,15,30,22,8,Online,Zomato,-32
10-08-2024,Saturday,Yes,No,Rainy,8AM - 2PM,Chai,22,19,6,114,63,51,Cash,Offline,11
10-08-2024,Saturday,Yes,No,Cloudy,8AM - 2PM,Bhaji Plate,8,7,20,140,98,42,Cash,Offline,2
10-08-2024,Saturday,Yes,No,Sunny,8AM - 2PM,Vada Misal,5,4,50,200,152,48,Cash,Offline,8
10-08-2024,Saturday,Yes,No,Rainy,8AM - 2PM,Usal Pav,5,4,35,140,104,36,Cash,Offline,-4
10-08-2024,Saturday,Yes,No,Cloudy,8AM - 2PM,ButterMilk,4,3,15,45,27,18,Cash,Offline,-22
11-08-2024,Sunday,Yes,No,Sunny,8AM - 2PM,Pohe,15,13,20,260,182,78,Cash,Offline,38
11-08-2024,Sunday,Yes,No,Sunny,8AM - 2PM,Tarri Pohe,11,10,30,300,216,84,Online,Swiggy,44
